name	midi	time	velocity	duration
D#5	75	33.8734375	0.488188976	0.075
A#4	70	33.9375	0.448818898	0.0359375
F#4	66	33.946875	0.330708661	0.0453125
D#4	63	33.9609375	0.244094488	0.04375
A#6	94	34.0578125	0.606299213	0.028125
D#5	75	34.1921875	0.566929134	0.034375
A#4	70	34.1953125	0.346456693	0.0546875
F#4	66	34.2109375	0.346456693	0.046875
A#3	58	34.2171875	0.157480315	0.0625
A#6	94	34.3234375	0.590551181	0.0265625
F#5	78	34.484375	0.590551181	0.05625
F5	77	34.5265625	0.456692913	0.05
E5	76	34.5984375	0.385826772	0.0421875
F5	77	34.64296875	0.433070866	0.06015625
G#4	68	34.7046875	0.362204724	0.0453125
A#4	70	34.7046875	0.440944882	0.034375
D4	62	34.7390625	0.181102362	0.0515625
A#6	94	34.8359375	0.401574803	0.0359375
A#4	70	34.959375	0.251968504	0.05625
F5	77	34.9671875	0.456692913	0.03125
G#4	68	34.971875	0.267716535	0.0546875
A#3	58	34.9796875	0.181102362	0.0609375
A#6	94	35.0796875	0.503937008	0.03125
G#5	80	35.240625	0.543307087	0.046875
F#5	78	35.2875	0.472440945	0.059375
F5	77	35.3734375	0.307086614	0.046875
F#5	78	35.4203125	0.393700787	0.0609375
A#4	70	35.4921875	0.157480315	0.0921875
D#5	75	35.5109375	0.338582677	0.040625
F#4	66	35.515625	0.125984252	0.078125
D#4	63	35.51875	0.181102362	0.0578125
A#6	94	35.665625	0.291338583	0.046875
F#5	78	35.83125	0.590551181	0.0328125
F5	77	35.95625	0.598425197	0.0359375
D5	74	35.9609375	0.551181102	0.03125
F#5	78	36.0828125	0.692913386	0.0421875
C#5	73	36.2	0.590551181	0.075
E5	76	36.2046875	0.543307087	0.0375
F#5	78	36.321875	0.724409449	0.0859375
D#5	75	36.4375	0.590551181	0.0765625
C5	72	36.4390625	0.62992126	0.0390625
F#5	78	36.5578125	0.755905512	0.0359375
D5	74	36.6625	0.700787402	0.0484375
B4	71	36.6640625	0.661417323	0.034375
G#5	80	36.8234375	0.653543307	0.0890625
F#5	78	36.8609375	0.598425197	0.0828125
F5	77	36.934375	0.519685039	0.0390625
F#5	78	36.9875	0.590551181	0.0796875
F#4	66	37.0375	0.417322835	0.05
A#4	70	37.0375	0.409448819	0.046875
C#5	73	37.03984375	0.488188976	0.03359375
C#7	97	37.165625	0.62992126	0.025
F#5	78	37.2859375	0.661417323	0.04375
C#5	73	37.28984375	0.409448819	0.04609375
A#4	70	37.3	0.354330709	0.0453125
C#4	61	37.309375	0.299212598	0.0484375
C#7	97	37.41875	0.582677165	0.0265625
A#5	82	37.56875	0.551181102	0.0625
G#5	80	37.615625	0.480314961	0.05
G5	79	37.6734375	0.503937008	0.0546875
G#5	80	37.734375	0.433070866	0.0921875
C#5	73	37.8015625	0.338582677	0.040625
B4	71	37.803125	0.37007874	0.05
F4	65	37.80625	0.244094488	0.090625
C#7	97	37.925	0.57480315	0.028125
G#5	80	38.0484375	0.480314961	0.0359375
C#5	73	38.05078125	0.472440945	0.05703125
C#4	61	38.053125	0.393700787	0.0390625
B4	71	38.065625	0.267716535	0.0453125
C#7	97	38.1640625	0.519685039	0.0296875
A#5	82	38.275	0.653543307	0.0828125
F#5	78	38.284375	0.535433071	0.0375
G#5	80	38.409375	0.511811024	0.034375
B5	83	38.4109375	0.842519685	0.0578125
F#4	66	38.51875	0.338582677	0.04375
C#6	85	38.5859375	0.708661417	0.1328125
A#5	82	38.6015625	0.637795276	0.1203125
C#7	97	38.70625	0.511811024	0.0375
F#6	90	38.7125	0.448818898	0.0375
B5	83	38.821875	0.811023622	0.0890625
G#5	80	38.834375	0.527559055	0.0390625
F#5	78	38.9390625	0.566929134	0.028125
A#5	82	38.94140625	0.566929134	0.05703125
B4	71	39.0671875	0.582677165	0.0328125
G#5	80	39.06953125	0.606299213	0.04453125
C#5	73	39.1671875	0.57480315	0.0265625
A#5	82	39.1859375	0.551181102	0.034375
B3	59	39.2984375	0.417322835	0.0390625
B5	83	39.340625	0.763779528	0.115625
D#5	75	39.378125	0.637795276	0.05625
D#6	87	39.4625	0.464566929	0.046875
B6	95	39.4640625	0.433070866	0.0390625
A#5	82	39.5765625	0.535433071	0.07578125
C#5	73	39.590625	0.362204724	0.0421875
B4	71	39.6875	0.566929134	0.0359375
G#5	80	39.6875	0.598425197	0.0453125
A#4	70	39.7953125	0.472440945	0.0390625
F#5	78	39.8015625	0.653543307	0.040625
B4	71	39.9171875	0.488188976	0.040625
G#5	80	39.91953125	0.590551181	0.03046875
C#4	61	40.00625	0.362204724	0.1078125
A#5	82	40.0421875	0.614173228	0.0796875
C#5	73	40.053125	0.57480315	0.053125
A#6	94	40.15234375	0.488188976	0.03359375
C#6	85	40.15546875	0.488188976	0.03828125
G#5	80	40.26015625	0.614173228	0.06328125
B4	71	40.2625	0.480314961	0.0390625
A#4	70	40.375	0.448818898	0.0421875
F#5	78	40.3765625	0.535433071	0.0359375
G#4	68	40.4984375	0.456692913	0.04375
F5	77	40.5078125	0.566929134	0.0390625
A#4	70	40.621875	0.543307087	0.03359375
F#5	78	40.6234375	0.559055118	0.0296875
C#4	61	40.7375	0.37007874	0.06875
G#5	80	40.7671875	0.511811024	0.1
B4	71	40.790625	0.488188976	0.090625
B5	83	40.8921875	0.338582677	0.0515625
G#6	92	40.89375	0.157480315	0.05
D#5	75	41.015625	0.346456693	0.04375
F#4	66	41.01953125	0.244094488	0.05390625
G#4	68	41.1125	0.488188976	0.03125
F5	77	41.1265625	0.511811024	0.0296875
F#3	54	41.2171875	0.551181102	0.034375
F#5	78	41.2765625	0.511811024	0.1140625
A#4	70	41.315625	0.448818898	0.0859375
A#5	82	41.4140625	0.417322835	0.04375
F#6	90	41.4140625	0.393700787	0.05
F#4	66	41.50625	0.582677165	0.0890625
F#5	78	41.61875	0.598425197	0.053125
G4	67	41.7375	0.598425197	0.059375
G5	79	41.8328125	0.74015748	0.03125
G#4	68	41.953125	0.661417323	0.0609375
G#5	80	42.0578125	0.57480315	0.0359375
G#4	68	42.18125	0.393700787	0.046875
G#6	92	42.18125	0.566929134	0.0359375
E4	64	42.2125	0.307086614	0.0421875
G#5	80	42.284375	0.543307087	0.0484375
G#4	68	42.4140625	0.338582677	0.0578125
G#6	92	42.4171875	0.464566929	0.0390625
D#4	63	42.41875	0.362204724	0.04140625
F#5	78	42.525	0.519685039	0.0453125
G#6	92	42.65	0.535433071	0.0359375
C#4	61	42.66875	0.307086614	0.053125
G#4	68	42.6703125	0.267716535	0.0640625
E5	76	42.7609375	0.409448819	0.0375
F#7	102	42.909375	0.606299213	0.028125
D#5	75	42.9296875	0.37007874	0.053125
G#5	80	43.0375	0.566929134	0.0296875
E7	100	43.175	0.488188976	0.03125
C#5	73	43.1828125	0.377952756	0.0375
G#5	80	43.2875	0.566929134	0.03125
G#3	56	43.3234375	0.519685039	0.0328125
D#7	99	43.4078125	0.566929134	0.025
C#7	97	43.4328125	0.330708661	0.0359375
C5	72	43.4484375	0.464566929	0.06875
G#5	80	43.521875	0.566929134	0.034375
C#7	97	43.646875	0.543307087	0.0375
A#4	70	43.6515625	0.433070866	0.053125
G#5	80	43.7484375	0.551181102	0.03125
D#7	99	43.871875	0.598425197	0.025
C5	72	43.878125	0.440944882	0.034375
G#5	80	43.9703125	0.535433071	0.034375
C#4	61	44.0203125	0.307086614	0.053125
E7	100	44.109375	0.42519685	0.0359375
C#5	73	44.11171875	0.346456693	0.06328125
G#5	80	44.23125	0.283464567	0.0484375
C#7	97	44.340625	0.519685039	0.040625
E5	76	44.3578125	0.385826772	0.040625
G#5	80	44.4703125	0.503937008	0.0328125
G4	67	44.58125	0.417322835	0.0421875
G5	79	44.6875	0.480314961	0.034375
F#4	66	44.8015625	0.566929134	0.0296875
F#5	78	44.9140625	0.488188976	0.03125
F#4	66	45.01875	0.393700787	0.046875
D#4	63	45.0296875	0.440944882	0.0578125
F#6	90	45.03125	0.551181102	0.0484375
F#5	78	45.125	0.598425197	0.040625
C#4	61	45.2421875	0.417322835	0.046875
F#4	66	45.24375	0.354330709	0.0484375
F#6	90	45.2484375	0.527559055	0.046875
E5	76	45.3484375	0.488188976	0.034375
F#6	90	45.4578125	0.622047244	0.0359375
F#4	66	45.4734375	0.31496063	0.0546875
B3	59	45.4828125	0.228346457	0.0453125
D#5	75	45.55	0.551181102	0.034375
E7	100	45.7125	0.57480315	0.0265625
C#5	73	45.7265625	0.307086614	0.0484375
F#5	78	45.8328125	0.598425197	0.0328125
B4	71	45.9625	0.496062992	0.0375
D#7	99	45.9703125	0.590551181	0.025
F#5	78	46.0875	0.480314961	0.034375
F#3	54	46.103125	0.590551181	0.0375
C#7	97	46.20625	0.566929134	0.0296875
A#4	70	46.2296875	0.488188976	0.090625
F#5	78	46.3328125	0.401574803	0.040625
G#4	68	46.440625	0.440944882	0.046875
B6	95	46.44453125	0.543307087	0.03046875
F#5	78	46.5421875	0.559055118	0.0359375
A#4	70	46.6453125	0.448818898	0.0359375
C#7	97	46.6671875	0.503937008	0.03125
F#5	78	46.7546875	0.614173228	0.0328125
B3	59	46.8125	0.338582677	0.04375
D#7	99	46.890625	0.653543307	0.0234375
B4	71	46.9203125	0.409448819	0.0515625
F#5	78	47.0453125	0.220472441	0.0515625
D#5	75	47.1453125	0.480314961	0.0328125
B6	95	47.1546875	0.511811024	0.0328125
F#5	78	47.265625	0.519685039	0.034375
D4	62	47.3796875	0.354330709	0.0421875
D5	74	47.4546875	0.480314961	0.03125
D#4	63	47.5859375	0.57480315	0.03125
D#5	75	47.6875	0.433070866	0.0328125
D#4	63	47.8015625	0.488188976	0.0390625
G3	55	47.803125	0.456692913	0.0546875
D#6	87	47.8125	0.488188976	0.0328125
D#5	75	47.890625	0.543307087	0.0484375
